Timestamp,Type,Sender,Receiver,Message
2026-07-03 16:08:28,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-03 16:08:51,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-03 16:09:28,BROADCAST,deepak,ALL,hello bhai
2026-07-03 16:09:40,PRIVATE,kunal,deepak,ky hal hai
2026-07-03 16:10:26,BROADCAST,kunal,ALL,exit
2026-07-03 16:10:34,BROADCAST,kunal,ALL,cd ..
2026-07-03 16:30:32,SYSTEM,SERVER,ALL,lass joined the chat
2026-07-03 16:30:43,SYSTEM,SERVER,ALL,cscwc joined the chat
2026-07-03 16:32:54,SYSTEM,SERVER,ALL,kcsdw joined the chat
2026-07-03 17:16:11,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-03 17:16:51,BROADCAST,kunal,ALL,list
2026-07-03 17:19:06,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-03 17:22:28,SYSTEM,SERVER,ALL,utkarsh joined the chat
2026-07-03 17:22:56,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-03 17:23:05,BROADCAST,kunal,ALL,hello guys
2026-07-03 17:23:28,BROADCAST,utkarsh,ALL,msg/ kunal ky hal hai bhai?
2026-07-03 17:24:03,BROADCAST,utkarsh,ALL,clear
2026-07-03 17:24:59,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-03 17:25:11,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-03 17:25:24,SYSTEM,SERVER,ALL,karan joined the chat
2026-07-03 17:25:57,BROADCAST,deepak,ALL,hello guys
2026-07-03 17:26:12,PRIVATE,karan,deepak,ky hai bhai?
2026-07-03 17:26:45,PRIVATE,kunal,deepak,hello deepak
2026-07-03 17:27:26,SYSTEM,SERVER,ALL,utkarsh joined the chat
2026-07-03 17:27:34,BROADCAST,utkarsh,ALL,hello bhailog
2026-07-03 19:18:07,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-03 19:18:22,SYSTEM,SERVER,ALL,utkarsh joined the chat
2026-07-03 19:18:35,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-03 19:18:49,BROADCAST,deepak,ALL,hi everyone
2026-07-03 19:19:03,PRIVATE,kunal,deepak,hi deepak
2026-07-03 19:19:16,PRIVATE,utkarsh,deepak,hlo deepakbhai
2026-07-03 19:19:41,BROADCAST,utkarsh,ALL,hi everyone
2026-07-03 19:20:08,SYSTEM,SERVER,ALL,karan joined the chat
2026-07-03 19:20:21,BROADCAST,karan,ALL,hlo bhailog
2026-07-03 20:21:06,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-03 20:21:23,SYSTEM,SERVER,ALL,utkarsh joined the chat
2026-07-03 20:21:47,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-03 20:22:08,SYSTEM,SERVER,ALL,karan joined the chat
2026-07-03 20:22:28,BROADCAST,kunal,ALL,hello everyone
2026-07-03 20:22:42,BROADCAST,utkarsh,ALL,good moning
2026-07-03 20:23:06,PRIVATE,kunal,deepak,hello deepak
2026-07-03 20:23:19,PRIVATE,utkarsh,kunal,hi kunal
2026-07-03 20:23:56,SYSTEM,SERVER,ALL,karan left the chat
2026-07-03 20:24:11,SYSTEM,SERVER,ALL,kunal left the chat
2026-07-08 22:03:36,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-08 22:03:58,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-08 22:04:06,SYSTEM,SERVER,ALL,deepak left the chat
2026-07-08 22:04:06,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-08 22:05:04,SYSTEM,SERVER,ALL,kunal left the chat
2026-07-08 22:05:10,SYSTEM,SERVER,ALL,deepak left the chat
2026-07-08 22:05:47,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-08 22:06:43,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-08 22:12:20,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-08 22:12:46,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-08 22:13:04,SYSTEM,SERVER,ALL,deepak left the chat
2026-07-08 22:13:08,SYSTEM,SERVER,ALL,kunal left the chat
2026-07-08 22:27:14,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-08 22:27:31,SYSTEM,SERVER,ALL,kunal left the chat
2026-07-08 22:27:41,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-08 22:31:04,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 15:12:45,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 15:13:09,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-09 15:13:22,BROADCAST,deepak,ALL,[deepak] hii
2026-07-09 15:13:33,BROADCAST,kunal,ALL,[kunal] hello kunal
2026-07-09 15:13:47,BROADCAST,kunal,ALL,[kunal] /msg deepak hii
2026-07-09 15:15:48,BROADCAST,kunal,ALL,[kunal] /list
2026-07-09 15:33:01,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 15:33:17,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-09 15:33:27,BROADCAST,deepak,ALL,[deepak] hii
2026-07-09 15:33:42,SYSTEM,SERVER,ALL,utkarsh joined the chat
2026-07-09 15:33:55,PRIVATE,utkarsh,kunal,hi
2026-07-09 15:45:25,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 15:45:45,SYSTEM,SERVER,ALL,DEEPAK joined the chat
2026-07-09 15:48:27,BROADCAST,DEEPAK,ALL,[DEEPAK] hii deepak
2026-07-09 15:48:40,SYSTEM,SERVER,ALL,Utkarsh joined the chat
2026-07-09 15:49:23,PRIVATE,kunal,Utkarsh,hi
2026-07-09 15:49:35,PRIVATE,DEEPAK,kunal,hii kunal
2026-07-09 15:49:43,BROADCAST,Utkarsh,ALL,[Utkarsh] hi everyone
2026-07-09 15:50:18,BROADCAST,DEEPAK,ALL,[DEEPAK] .help
2026-07-09 16:29:24,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 16:29:33,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-09 16:29:59,SYSTEM,SERVER,ALL,utkarsh joined the chat
2026-07-09 16:30:09,BROADCAST,kunal,ALL,[kunal] hii everyonw
2026-07-09 16:30:15,SYSTEM,SERVER,ALL,kunal left the chat
2026-07-09 16:30:28,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 16:30:46,PRIVATE,kunal,deepak,hi
2026-07-09 16:30:55,BROADCAST,utkarsh,ALL,[utkarsh] hloooo
2026-07-09 16:38:16,BROADCAST,deepak,ALL,[deepak] hi
2026-07-09 16:38:44,SYSTEM,SERVER,ALL,kunl joined the chat
2026-07-09 16:38:49,BROADCAST,kunl,ALL,hi
2026-07-09 16:38:59,SYSTEM,SERVER,ALL,kunaal joined the chat
2026-07-09 16:39:22,PRIVATE,kunaal,kunl,hi
2026-07-09 16:39:42,BROADCAST,kunaal,ALL,kunaaal
2026-07-09 17:44:29,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 17:44:36,BROADCAST,kunal,ALL,hi
2026-07-09 17:44:50,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-09 17:45:10,BROADCAST,deepak,ALL,hii everyone
2026-07-09 17:45:18,PRIVATE,deepak,kunal,hi
2026-07-09 17:45:45,SYSTEM,SERVER,ALL,utkarsh joined the chat
2026-07-09 17:45:53,BROADCAST,utkarsh,ALL,heelo everyone
2026-07-09 17:46:03,PRIVATE,deepak,utkarsh,hi
2026-07-09 17:57:44,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 17:58:04,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-09 17:58:28,PRIVATE,deepak,kunal,hi
2026-07-09 17:59:06,SYSTEM,SERVER,ALL,karan joined the chat
2026-07-09 17:59:11,BROADCAST,karan,ALL,hii
2026-07-09 17:59:30,PRIVATE,karan,deepak,hello
2026-07-09 18:18:11,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 18:18:25,BROADCAST,kunal,ALL,hii
2026-07-09 18:18:37,BROADCAST,kunal,ALL,ss
2026-07-09 18:18:39,BROADCAST,kunal,ALL,Enter your message...sjsjs
2026-07-09 18:18:42,BROADCAST,kunal,ALL,Enter your message...ss
2026-07-09 18:18:43,BROADCAST,kunal,ALL,Enter your message...sss
2026-07-09 18:33:52,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 18:34:18,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-09 18:34:26,BROADCAST,deepak,ALL,Type your message here...kunal
2026-07-09 18:34:29,BROADCAST,deepak,ALL,Enter your message...jshs
2026-07-09 18:45:48,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 18:45:52,BROADCAST,kunal,ALL,hi
2026-07-09 18:45:55,BROADCAST,kunal,ALL,Enter your message...shshs
2026-07-09 18:49:22,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 18:49:26,BROADCAST,kunal,ALL,hi
2026-07-09 18:49:33,BROADCAST,kunal,ALL,hi
2026-07-09 18:49:37,BROADCAST,kunal,ALL,Enter your message...hi
2026-07-09 18:49:41,BROADCAST,kunal,ALL,hi
2026-07-09 18:56:52,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 18:56:56,BROADCAST,kunal,ALL,kunal
2026-07-09 18:57:02,BROADCAST,kunal,ALL,hi
2026-07-09 18:57:05,BROADCAST,kunal,ALL,deepak
2026-07-09 18:57:11,BROADCAST,kunal,ALL,how are you
2026-07-09 19:03:55,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 19:04:02,BROADCAST,kunal,ALL,Enter your message...hiiiiiii
2026-07-09 19:04:05,BROADCAST,kunal,ALL,Enter your message...nuubuuu
2026-07-09 19:09:26,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-09 19:09:30,BROADCAST,kunal,ALL,hi
2026-07-09 19:09:34,BROADCAST,kunal,ALL,hi
